fvalue	x	y	z
-5.25639383871e-08	2.05	-0.00625	-0.00625
-5.76694247911e-08	2.0625	-0.00625	-0.00625
-6.33619379187e-08	2.075	-0.00625	-0.00625
-6.96966632556e-08	2.0875	-0.00625	-0.00625
-7.67613528296e-08	2.1	-0.00625	-0.00625
-8.4675140973e-08	2.1125	-0.00625	-0.00625
-9.35105030446e-08	2.125	-0.00625	-0.00625
-1.03437140334e-07	2.1375	-0.00625	-0.00625
-1.14571700275e-07	2.15	-0.00625	-0.00625
-1.27101410878e-07	2.1625	-0.00625	-0.00625
-1.41216105476e-07	2.175	-0.00625	-0.00625
-1.57173474236e-07	2.1875	-0.00625	-0.00625
-1.75204443546e-07	2.2	-0.00625	-0.00625
-1.95639652626e-07	2.2125	-0.00625	-0.00625
-2.1885391277e-07	2.225	-0.00625	-0.00625
-2.4526703631e-07	2.2375	-0.00625	-0.00625
-2.75373442567e-07	2.25	-0.00625	-0.00625
-3.09813212122e-07	2.2625	-0.00625	-0.00625
-3.49234241526e-07	2.275	-0.00625	-0.00625
-3.9449664276e-07	2.2875	-0.00625	-0.00625
-4.46598491521e-07	2.3	-0.00625	-0.00625
-5.06717630818e-07	2.3125	-0.00625	-0.00625
-5.76271711831e-07	2.325	-0.00625	-0.00625
-6.56927786243e-07	2.3375	-0.00625	-0.00625
-7.50772718069e-07	2.35	-0.00625	-0.00625
-8.60257642898e-07	2.3625	-0.00625	-0.00625
-9.88363169085e-07	2.375	-0.00625	-0.00625
-1.13875806562e-06	2.3875	-0.00625	-0.00625
-1.31589258009e-06	2.4	-0.00625	-0.00625
-1.52521847004e-06	2.4125	-0.00625	-0.00625
-1.77349382587e-06	2.425	-0.00625	-0.00625
-2.06902607639e-06	2.4375	-0.00625	-0.00625
-2.42224006778e-06	2.45	-0.00625	-0.00625
-2.84609053362e-06	2.4625	-0.00625	-0.00625
-3.35685281054e-06	2.475	-0.00625	-0.00625
-3.97514613818e-06	2.4875	-0.00625	-0.00625
-4.72706958021e-06	2.5	-0.00625	-0.00625
-5.64610094974e-06	2.5125	-0.00625	-0.00625
-6.77513642226e-06	2.525	-0.00625	-0.00625
-8.16973913705e-06	2.5375	-0.00625	-0.00625
-9.9023831505e-06	2.55	-0.00625	-0.00625
-1.20680596183e-05	2.5625	-0.00625	-0.00625
-1.47924239968e-05	2.575	-0.00625	-0.00625
-1.82431032651e-05	2.5875	-0.00625	-0.00625
-2.26452906797e-05	2.6	-0.00625	-0.00625
-2.83048118869e-05	2.6125	-0.00625	-0.00625
-3.56403991949e-05	2.625	-0.00625	-0.00625
-4.52320383223e-05	2.6375	-0.00625	-0.00625
-5.78912514963e-05	2.65	-0.00625	-0.00625
-7.47674702003e-05	2.6625	-0.00625	-0.00625
-9.75094726149e-05	2.675	-0.00625	-0.00625
-0.000128514372951	2.6875	-0.00625	-0.00625
-0.000171319377292	2.7	-0.00625	-0.00625
-0.000231227347787	2.7125	-0.00625	-0.00625
-0.000316326869173	2.725	-0.00625	-0.00625
-0.000439190537331	2.7375	-0.00625	-0.00625
-0.000619766782487	2.75	-0.00625	-0.00625
-0.000890433417311	2.7625	-0.00625	-0.00625
-0.00130507137281	2.775	-0.00625	-0.00625
-0.00195587002025	2.7875	-0.00625	-0.00625
-0.00300552859353	2.8	-0.00625	-0.00625
-0.00475135545202	2.8125	-0.00625	-0.00625
-0.00775847130209	2.825	-0.00625	-0.00625
-0.0131504309223	2.8375	-0.00625	-0.00625
-0.0232796775471	2.85	-0.00625	-0.00625
-0.043377164125	2.8625	-0.00625	-0.00625
-0.0859280956869	2.875	-0.00625	-0.00625
-0.183356674453	2.8875	-0.00625	-0.00625
-0.428916751042	2.9	-0.00625	-0.00625
-1.12658299563	2.9125	-0.00625	-0.00625
-3.43360897181	2.925	-0.00625	-0.00625
-12.6801899687	2.9375	-0.00625	-0.00625
-58.8743494604	2.95	-0.00625	-0.00625
-262.272755272	2.9625	-0.00625	-0.00625
8595.7702242	2.975	-0.00625	-0.00625
-64479.4456526	2.9875	-0.00625	-0.00625
-824535.544514	3.0	-0.00625	-0.00625
-64479.4456526	3.0125	-0.00625	-0.00625
8595.7702242	3.025	-0.00625	-0.00625
-262.272755272	3.0375	-0.00625	-0.00625
-58.8743494599	3.05	-0.00625	-0.00625
-12.6801899697	3.0625	-0.00625	-0.00625
-3.43360897131	3.075	-0.00625	-0.00625
-1.12658299566	3.0875	-0.00625	-0.00625
-0.428916751011	3.1	-0.00625	-0.00625
